species,GDD,height,anchorage_force
Mustard,340,6.7,3.926
Mustard,393,8.1,3.924
Mustard,393,7.8,3.831
Mustard,340,8.4,3.663
Mustard,393,6.8,3.606
Mustard,393,5.9,3.582
Mustard,393,7,3.45
Mustard,340,7.4,3.205
Mustard,393,7.6,3.189
Mustard,393,6.7,3.124
Mustard,340,5.6,3.028
Mustard,393,7.4,2.967
Mustard,340,7.4,2.892
Mustard,340,8.8,2.88
Mustard,393,6.1,2.836
Mustard,393,6.9,2.825
Mustard,340,7,2.699
Mustard,393,5.1,2.684
Mustard,340,7.9,2.65
Mustard,340,6.5,2.614
Mustard,340,7,2.592
Mustard,263,4,2.588
Mustard,340,6.1,2.535
Mustard,340,7,2.366
Mustard,340,7.8,2.296
Mustard,340,5,2.246
Mustard,340,5.6,2.242
Mustard,340,5.3,2.237
Mustard,340,6.5,2.222
Mustard,263,4.5,2.219
Mustard,340,4.5,2.21
Mustard,340,6.8,2.207
Mustard,340,4.4,2.157
Mustard,340,4.8,2.035
Mustard,340,7.4,2.023
Mustard,393,6.4,1.996
Mustard,340,6.1,1.946
Mustard,263,3.5,1.93
Mustard,340,6.1,1.911
Mustard,263,3.5,1.909
Mustard,263,3.8,1.887
Mustard,263,5.9,1.871
Setfa,393,13.7,1.853
Mustard,263,3.6,1.841
Mustard,263,4.6,1.806
Mustard,340,7.5,1.737
Mustard,340,5,1.729
Mustard,263,6.5,1.706
Mustard,340,4.4,1.668
Setfa,393,3.5,1.655
Mustard,263,6.8,1.651
Mustard,263,3.9,1.617
Mustard,263,4.3,1.616
Setfa,393,13.8,1.593
Mustard,340,5.2,1.581
Amaranth,393,5.3,1.577
Mustard,263,4.5,1.571
Carrot,393,9.9,1.564
Amaranth,393,6.4,1.55
Carrot,340,6.6,1.545
Carrot,393,9.5,1.543
Carrot,393,9.6,1.54
Mustard,263,3.7,1.521
Amaranth,393,7,1.52
Mustard,263,4.1,1.511
Mustard,263,6.4,1.501
Mustard,263,4.3,1.495
Mustard,340,5.8,1.456
Mustard,263,4.4,1.443
Carrot,393,9.2,1.434
Mustard,263,5.6,1.43
Mustard,263,4.7,1.43
Mustard,263,5.4,1.427
Mustard,263,3.6,1.417
Setfa,340,7.9,1.414
Mustard,263,5,1.411
Mustard,263,5,1.407
Carrot,393,7.1,1.402
Mustard,263,4.1,1.402
Carrot,393,7.3,1.399
Carrot,340,7.1,1.395
Setfa,393,12.1,1.391
Carrot,393,10.2,1.387
Amaranth,393,6.2,1.368
Mustard,263,6.3,1.357
Carrot,340,7.1,1.354
Setfa,340,8.1,1.338
Mustard,263,3.1,1.336
Amaranth,393,6.3,1.328
Mustard,263,3.4,1.323
Cheal,393,4.1,1.32
Mustard,263,4.7,1.316
Carrot,393,8.7,1.315
Mustard,263,4.6,1.306
Mustard,213,3.5,1.304
Carrot,393,7.6,1.301
Mustard,213,3.5,1.285
Mustard,263,6.1,1.28
Carrot,393,9,1.275
Mustard,263,4.3,1.268
Mustard,263,4.2,1.256
Mustard,263,4.6,1.249
Amaranth,393,6.6,1.243
Mustard,263,4.2,1.238
Mustard,263,3.8,1.236
Carrot,393,7.6,1.222
Mustard,263,5.1,1.218
Mustard,263,4.9,1.214
Mustard,263,5.1,1.212
Mustard,263,5.2,1.207
Mustard,213,5,1.203
Carrot,340,5.5,1.198
Carrot,340,5.8,1.189
Amaranth,340,4.4,1.189
Mustard,213,3.1,1.187
Carrot,340,5.9,1.185
Mustard,263,4.8,1.18
Amaranth,340,5.5,1.173
Amaranth,340,4.3,1.17
Mustard,263,4,1.167
Mustard,213,2.6,1.166
Setfa,393,15.4,1.165
Mustard,213,3.9,1.158
Mustard,213,2.6,1.156
Mustard,213,2.9,1.152
Mustard,263,4.9,1.143
Amaranth,393,5,1.141
Mustard,263,3.6,1.137
Mustard,263,4.2,1.135
Carrot,340,6.6,1.134
Carrot,393,8.8,1.132
Carrot,340,5.7,1.128
Mustard,263,4.7,1.125
